radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,646,1,10002,11311,0,47.6581,-18.8696,7288,22,1,1458950321,1700235309,0
GSM,646,1,10002,50941,0,47.6526,-18.8719,6466,33,1,1458950321,1700235309,0
GSM,646,1,10002,50942,0,47.6177,-18.8913,4789,4,1,1491389443,1700235309,0
GSM,646,2,4020,40252,-1,47.2097,-15.0265,4556,14,1,1699929244,1700235364,0
GSM,646,2,4020,43792,-1,47.2151,-15.0254,4211,38,1,1699929264,1700235364,0
GSM,646,2,4020,43793,-1,47.2122,-15.0277,4560,31,1,1699929274,1700235364,0
UMTS,646,2,4420,765268,5,47.2288,-14.9899,1000,1,1,1699929334,1699929334,0
GSM,646,2,4020,40391,-1,47.2097,-15.0265,4557,14,1,1699929715,1700235364,0
UMTS,646,1,101,230877197,409,47.4628,-18.834,1000,1,1,1700001787,1700001787,0
GSM,646,2,1030,10644,-1,47.4648,-18.8305,2264,19,1,1700001787,1700045641,0
GSM,646,2,1030,11706,-1,47.4641,-18.8325,1000,25,1,1700001787,1700045583,0
GSM,646,2,1030,10102,-1,47.4635,-18.8339,1000,8,1,1700001787,1700045583,0
GSM,646,2,1030,10502,-1,47.4649,-18.8285,1383,17,1,1700001787,1700045584,0
GSM,646,2,1030,10751,-1,47.4628,-18.834,1000,1,1,1700001787,1700001787,0
GSM,646,2,1030,10646,-1,47.4629,-18.8343,1000,11,1,1700001787,1700045583,0
GSM,646,2,1030,13911,-1,47.4643,-18.8267,1000,8,1,1700001787,1700045583,0
LTE,646,1,10101,2127106,-1,47.4633,-18.8318,1000,18,1,1700001807,1700235307,0
LTE,646,1,10101,2126083,-1,47.4628,-18.8345,1000,7,1,1700002815,1700235306,0
GSM,646,2,1030,11705,-1,47.4627,-18.8341,1000,1,1,1700002815,1700002815,0
GSM,646,2,1030,10871,-1,47.4641,-18.8327,1000,18,1,1700002815,1700045583,0
UMTS,646,1,101,230880521,199,47.4628,-18.8345,1000,2,1,1700003122,1700045582,0
GSM,646,2,1030,11533,-1,47.4629,-18.8344,1000,5,1,1700003122,1700045583,0
LTE,646,1,10101,2095107,-1,47.4628,-18.8344,1000,6,1,1700003181,1700235307,0
GSM,646,2,1030,10281,-1,47.4639,-18.8301,1002,6,1,1700003268,1700045584,0
GSM,646,2,1030,10267,-1,47.4627,-18.8345,1000,1,1,1700003268,1700003268,0
GSM,646,2,1030,10853,-1,47.4662,-18.823,1332,33,1,1700003268,1700045641,0
GSM,646,2,1030,12702,-1,47.4645,-18.8287,1000,22,1,1700003268,1700045584,0
LTE,646,1,10101,2056195,-1,47.4627,-18.8345,1000,4,1,1700003831,1700235306,0
GSM,646,2,1030,10103,-1,47.4646,-18.8304,1000,5,1,1700003851,1700045583,0
GSM,646,2,1030,13683,-1,47.4627,-18.8345,1000,1,1,1700003941,1700003941,0
UMTS,646,1,101,230878269,409,47.4627,-18.8345,1000,1,1,1700004780,1700004780,0
UMTS,646,1,101,230877235,392,47.4635,-18.8343,1000,5,1,1700004800,1700235307,0
LTE,646,1,10101,2055683,-1,47.463,-18.8341,1000,3,1,1700004912,1700045583,0
LTE,646,1,10101,2055681,-1,47.463,-18.8341,1000,1,1,1700005132,1700005132,0
UMTS,646,1,101,230880515,392,47.4652,-18.8304,1000,11,1,1700005295,1700045583,0
GSM,646,2,1030,11765,-1,47.4658,-18.8317,1000,3,1,1700005307,1700045583,0
GSM,646,2,1030,11704,-1,47.4651,-18.8244,1000,22,1,1700005337,1700045584,0
GSM,646,2,1030,10193,-1,47.4652,-18.8234,1000,23,1,1700005355,1700045584,0
GSM,646,2,1030,10856,-1,47.4644,-18.8266,1000,3,1,1700005367,1700045583,0
GSM,646,2,1030,12701,-1,47.4652,-18.8228,1000,16,1,1700005375,1700045584,0
UMTS,646,1,101,230878265,211,47.4645,-18.8247,1000,3,1,1700005385,1700045583,0
UMTS,646,1,101,230878214,217,47.4682,-18.818,1000,17,1,1700005395,1700045641,0
GSM,646,2,1030,10192,-1,47.4655,-18.8219,1000,12,1,1700005395,1700045584,0
UMTS,646,1,101,230878213,217,47.4677,-18.8171,1000,7,1,1700005485,1700045584,0
GSM,646,2,1030,10191,-1,47.4694,-18.8156,1000,14,1,1700005485,1700045641,0
GSM,646,2,1030,12211,-1,47.4698,-18.8152,1000,12,1,1700005500,1700045641,0
GSM,646,2,1030,12214,-1,47.4696,-18.8159,1000,6,1,1700005513,1700045584,0
GSM,646,2,1030,51032,-1,47.4706,-18.8146,1000,9,1,1700005518,1700045641,0
GSM,646,2,1030,13902,-1,47.4715,-18.8132,1000,4,1,1700005546,1700045641,0
UMTS,646,1,101,230878184,223,47.4718,-18.8108,1000,3,1,1700005575,1700045641,0
UMTS,646,2,1430,842464,444,47.4723,-18.8085,1000,11,1,1700005575,1700045641,0
UMTS,646,1,101,230878525,223,47.4728,-18.8066,1000,4,1,1700005625,1700045641,0
UMTS,646,2,1430,803604,444,47.4729,-18.8037,1000,5,1,1700005655,1700045641,0
UMTS,646,1,101,230878523,223,47.4741,-18.8023,1000,11,1,1700005665,1700045641,0
UMTS,646,2,1430,800915,146,47.4748,-18.8017,1000,7,1,1700005706,1700045641,0
UMTS,646,1,101,230878185,223,47.4766,-18.8015,1000,1,1,1700005786,1700005786,0
LTE,646,1,10101,2124547,-1,47.5142,-18.8318,1751,41,1,1700006204,1700045642,0
UMTS,646,2,1430,803924,398,47.5147,-18.8227,1000,17,1,1700006204,1700045642,0
LTE,646,1,10101,2125827,-1,47.5158,-18.8172,1000,3,1,1700006209,1700045641,0
LTE,646,1,10101,2123266,-1,47.516,-18.8188,1000,3,1,1700006219,1700045641,0
UMTS,646,2,1430,842743,13,47.5158,-18.8214,1000,7,1,1700006229,1700045642,0
LTE,646,1,10101,2056193,-1,47.5155,-18.8222,1000,4,1,1700006239,1700045642,0
UMTS,646,2,1430,802390,377,47.5129,-18.8294,1000,4,1,1700006279,1700045642,0
UMTS,646,2,1430,842750,14,47.5137,-18.8366,1000,17,1,1700006289,1700045642,0
UMTS,646,2,1430,842744,14,47.5139,-18.846,1000,12,1,1700006359,1700045643,0
LTE,646,1,10101,2056963,-1,47.513,-18.8497,1000,9,1,1700006379,1700045643,0
LTE,646,1,10101,2054401,-1,47.5125,-18.8563,1096,15,1,1700006389,1700045643,0
UMTS,646,2,1430,802013,14,47.5135,-18.8473,1000,3,1,1700006389,1700045642,0
LTE,646,1,10101,2092803,-1,47.5127,-18.8492,1000,4,1,1700006399,1700045643,0
UMTS,646,2,1440,802013,325,47.5123,-18.8511,1000,4,1,1700006409,1700045643,0
LTE,646,1,10101,2070273,-1,47.5119,-18.8548,1000,4,1,1700006429,1700045643,0
LTE,646,1,10101,2068483,-1,47.5115,-18.8582,1000,10,1,1700006439,1700045643,0
LTE,646,1,10101,2070275,-1,47.5152,-18.8663,1000,8,1,1700006499,1700045643,0
LTE,646,1,10101,2069251,-1,47.5182,-18.871,1000,16,1,1700006529,1700045643,0
UMTS,646,2,1440,803943,216,47.519,-18.8725,1000,14,1,1700006589,1700045643,0
UMTS,646,2,1440,800595,50,47.5192,-18.873,1000,2,1,1700007059,1700045643,0
LTE,646,1,10101,2067203,-1,47.5198,-18.8746,1000,9,1,1700007089,1700045643,0
UMTS,646,2,1440,803947,217,47.5206,-18.8767,1000,7,1,1700007259,1700045643,0
LTE,646,1,10101,2055425,-1,47.5219,-18.8799,1000,17,1,1700007279,1700045701,0
UMTS,646,2,1440,801936,331,47.5233,-18.8815,1000,7,1,1700007469,1700045701,0
UMTS,646,2,1440,801939,331,47.5302,-18.8807,1000,10,1,1700007499,1700045702,0
UMTS,646,2,1440,801933,331,47.5286,-18.8821,1000,12,1,1700007549,1700045702,0
UMTS,646,2,1440,800538,312,47.5225,-18.8823,1000,3,1,1700007619,1700045701,0
LTE,646,1,10101,2089986,-1,47.5325,-18.8822,1000,23,1,1700007829,1700045702,0
UMTS,646,2,1440,801937,332,47.5274,-18.8829,1000,7,1,1700007839,1700045701,0
LTE,646,1,10101,2068993,-1,47.5315,-18.8828,1000,3,1,1700007879,1700045702,0
UMTS,646,2,1440,802320,359,47.5387,-18.8813,1000,6,1,1700007919,1700045702,0
LTE,646,1,10101,2065411,-1,47.5407,-18.8813,1000,10,1,1700007929,1700045702,0
UMTS,646,2,1440,804051,80,47.5405,-18.8812,1000,3,1,1700007939,1700045702,0
UMTS,646,2,1440,804049,78,47.5429,-18.8817,1000,8,1,1700007969,1700045702,0
UMTS,646,2,1440,800696,78,47.5459,-18.8826,1000,6,1,1700007989,1700045702,0
UMTS,646,2,1440,803130,211,47.5411,-18.8812,1000,2,1,1700008229,1700045702,0
LTE,646,1,10101,2095875,-1,47.5494,-18.8835,1000,19,1,1700008269,1700045702,0
LTE,646,1,10101,2065409,-1,47.5444,-18.8821,1000,3,1,1700008359,1700045702,0
UMTS,646,2,1440,669376,425,47.5501,-18.8837,1000,3,1,1700008399,1700045702,0
UMTS,646,2,1450,672674,103,47.5511,-18.8841,1000,1,1,1700008409,1700008409,0
UMTS,646,2,1450,672957,370,47.5517,-18.8843,1000,3,1,1700008429,1700045702,0
UMTS,646,2,1440,800956,156,47.5543,-18.8847,1000,4,1,1700008449,1700045702,0
UMTS,646,2,1450,671815,496,47.5567,-18.8854,1000,5,1,1700008459,1700045702,0
LTE,646,1,10101,2095874,-1,47.5602,-18.8869,1000,4,1,1700008469,1700045702,0
LTE,646,1,10101,2057475,-1,47.5669,-18.8927,1210,20,1,1700008479,1700045703,0
UMTS,646,2,1450,672675,371,47.5599,-18.8866,1000,6,1,1700008479,1700045702,0
LTE,646,1,10101,1920514,-1,47.5612,-18.8873,1000,3,1,1700008499,1700045702,0
UMTS,646,2,1450,669375,424,47.5637,-18.8883,1000,4,1,1700008519,1700045702,0
LTE,646,1,10101,2093570,-1,47.5656,-18.8885,1000,7,1,1700008529,1700045702,0
UMTS,646,2,1450,671096,41,47.5661,-18.8885,1000,4,1,1700008539,1700045702,0
LTE,646,1,10101,2054657,-1,47.5729,-18.9059,1885,19,1,1700008639,1700235307,0
LTE,646,1,10101,2057474,-1,47.5711,-18.9046,1000,2,1,1700008679,1700045703,0
UMTS,646,2,1450,672751,100,47.5741,-18.9152,1000,19,1,1700008729,1700045703,0
UMTS,646,1,101,230878614,150,47.5724,-18.9134,1000,2,1,1700008759,1700045703,0
UMTS,646,1,101,230881391,246,47.5778,-18.9189,1000,25,1,1700008769,1700045703,0
UMTS,646,2,1450,673853,277,47.58,-18.9207,1000,9,1,1700008819,1700045703,0
UMTS,646,2,1450,711431,490,47.5831,-18.9226,1000,1,1,1700008873,1700008873,0
UMTS,646,2,1450,671784,490,47.5845,-18.9204,1000,7,1,1700008879,1700045703,0
LTE,646,1,10101,2065153,-1,47.5835,-18.9217,1000,2,1,1700008889,1700045703,0
LTE,646,1,10101,2064130,-1,47.585,-18.9197,1000,5,1,1700008899,1700045703,0
LTE,646,1,10101,2054658,-1,47.5872,-18.9162,1000,8,1,1700008929,1700235307,0
UMTS,646,2,1450,668655,417,47.5904,-18.9119,1000,20,1,1700008929,1700235307,0
GSM,646,2,1020,11622,-1,47.8629,-18.9255,2323,53,1,1700012766,1700235363,0
GSM,646,2,1020,10831,-1,47.853,-18.9231,3222,86,1,1700012766,1700235363,0
GSM,646,2,1020,10833,-1,47.8453,-18.9196,2452,40,1,1700012819,1700235362,0
GSM,646,2,1020,13841,-1,47.8593,-18.9246,1000,1,1,1700012840,1700012840,0
GSM,646,2,1020,11821,-1,47.8593,-18.9246,1000,1,1,1700012840,1700012840,0
UMTS,646,1,101,230882603,338,47.879,-18.9277,1000,6,1,1700012986,1700046302,0
UMTS,646,1,101,230882605,340,47.8798,-18.9278,1000,12,1,1700013016,1700046302,0
GSM,646,2,1020,11621,-1,47.931,-18.9265,5040,3,1,1700013566,1700046303,0
UMTS,646,2,1420,670281,420,47.9299,-18.9206,1533,19,1,1700014276,1700046303,0
GSM,646,4,17180,26351,-1,47.918,-18.9123,1000,1,1,1700014270,1700014270,0
LTE,646,1,10101,2227971,-1,47.9411,-18.9297,1510,17,1,1700014449,1700046303,0
UMTS,646,4,37001,500044,118,47.9311,-18.9249,1000,1,1,1700014568,1700014568,0
UMTS,646,1,101,231537533,148,47.9571,-18.9182,2814,63,1,1700014678,1700046303,0
GSM,646,2,1020,11643,-1,47.9706,-18.9061,3557,94,1,1700015091,1700046304,0
UMTS,646,1,101,231537536,151,47.9558,-18.9233,2291,16,1,1700015116,1700046303,0
GSM,646,2,1020,11642,-1,47.9967,-18.895,7228,134,1,1700015195,1700046305,0
GSM,646,2,1020,11641,-1,48.0387,-18.8803,7705,32,1,1700015644,1700046305,0
LTE,646,1,10101,2227969,-1,47.9785,-18.8943,1000,10,1,1700015765,1700046304,0
UMTS,646,2,1420,680013,16,48.0029,-18.8919,1000,14,1,1700016010,1700046304,0
UMTS,646,2,1420,680012,15,48.0273,-18.8848,3263,78,1,1700016030,1700046304,0
GSM,646,2,1020,12732,-1,48.0708,-18.8673,1467,36,1,1700016537,1700046305,0
UMTS,646,2,1420,685232,348,48.078,-18.8685,1000,16,1,1700016682,1700046305,0
GSM,646,2,1020,20463,-1,48.0846,-18.8688,1000,1,1,1700016791,1700016791,0
UMTS,646,4,37001,500057,47,48.3535,-18.9589,1000,17,1,1700021492,1700046305,0
GSM,646,2,1020,20713,-1,48.3802,-18.948,4181,22,1,1700021606,1700235363,0
GSM,646,2,1020,20113,-1,48.3674,-18.9503,1035,10,1,1700021616,1700046305,0
GSM,646,4,12030,38181,-1,48.3664,-18.9498,1000,5,1,1700021678,1700046305,0
GSM,646,2,1020,20712,-1,48.3838,-18.947,3795,17,1,1700021749,1700235363,0
UMTS,646,1,103,231536531,372,48.4095,-18.9362,2703,18,1,1700021921,1700235363,0
UMTS,646,1,103,231537475,147,48.4027,-18.9583,1000,4,1,1700022003,1700046305,0
UMTS,646,2,1420,680481,404,48.4089,-18.9574,1000,6,1,1700022048,1700046305,0
UMTS,646,1,103,231536530,371,48.4106,-18.9571,1000,4,1,1700022068,1700046305,0
UMTS,646,2,1420,679732,10,48.4149,-18.9332,2699,13,1,1700022073,1700235363,0
LTE,646,2,4620,12042242,-1,47.2147,-15.0601,4571,33,1,1699937253,1700235364,0
UMTS,646,2,4420,765277,6,47.2148,-15.0652,1477,43,1,1699937253,1700235364,0
LTE,646,2,4620,12041474,-1,47.2137,-15.038,4251,53,1,1699937256,1700235364,0
UMTS,646,2,1430,800653,66,47.4628,-18.8345,1000,6,1,1699941719,1700235307,0
UMTS,646,2,1430,801408,260,47.4627,-18.8346,1000,4,1,1699941739,1700235306,0
UMTS,646,2,1430,803763,57,47.4628,-18.8346,1000,6,1,1699941889,1700235306,0
UMTS,646,2,1430,800656,66,47.4628,-18.8346,1000,6,1,1699941909,1700235306,0
UMTS,646,2,1430,805515,319,47.4628,-18.8345,1000,3,1,1699945859,1700235306,0
UMTS,646,1,101,230878263,209,47.4628,-18.8346,1000,1,1,1699947695,1699947695,0
UMTS,646,1,101,230877194,409,47.4628,-18.8345,1000,2,1,1699947735,1700235306,0
UMTS,646,2,1430,801405,260,47.4628,-18.8345,1000,2,1,1699954340,1700235306,0
UMTS,646,2,1430,802904,76,47.4628,-18.8345,1000,1,1,1699978006,1699978006,0
LTE,646,1,10101,2089218,-1,47.6023,-18.8988,2290,13,1,1700008969,1700235308,0
LTE,646,1,10101,2065923,-1,47.5995,-18.9034,1234,24,1,1700008999,1700235308,0
UMTS,646,2,1450,673059,363,47.6048,-18.8998,1135,25,1,1700009059,1700235308,0
UMTS,646,2,1450,671927,48,47.6043,-18.8937,1000,13,1,1700009219,1700235308,0
UMTS,646,1,101,230880601,352,47.6036,-18.8958,1000,2,1,1700009249,1700235308,0
UMTS,646,1,101,230878619,149,47.6036,-18.8942,1000,3,1,1700009259,1700235308,0
UMTS,646,1,101,230881710,263,47.605,-18.8919,1000,7,1,1700009289,1700235308,0
UMTS,646,2,1450,669647,96,47.6073,-18.8901,1000,4,1,1700009349,1700235308,0
LTE,646,1,10101,2065921,-1,47.6135,-18.8942,1000,28,1,1700009369,1700235308,0
UMTS,646,2,1450,674607,361,47.6283,-18.8836,2534,20,1,1700009369,1700235309,0
UMTS,646,2,1450,671254,361,47.6197,-18.8932,1000,24,1,1700009489,1700235308,0
LTE,646,1,10101,2089217,-1,47.6233,-18.8911,1000,9,1,1700009619,1700235308,0
UMTS,646,2,1450,671552,52,47.621,-18.8917,1000,2,1,1700009619,1700235308,0
UMTS,646,1,101,230880355,158,47.6308,-18.8855,1000,13,1,1700009679,1700235308,0
UMTS,646,2,1420,670546,351,47.6288,-18.8872,1000,10,1,1700009689,1700235308,0
LTE,646,1,10101,2228739,-1,47.6334,-18.8836,1000,11,1,1700009739,1700235308,0
UMTS,646,2,1420,670544,349,47.6348,-18.8824,1000,12,1,1700009749,1700235308,0
UMTS,646,1,101,230880361,158,47.639,-18.8797,1000,3,1,1700009819,1700235308,0
UMTS,646,2,1450,671257,304,47.6393,-18.8795,1000,4,1,1700009819,1700235308,0
UMTS,646,1,101,230880599,350,47.6425,-18.8778,1000,10,1,1700009829,1700235308,0
UMTS,646,2,1450,671251,361,47.6456,-18.876,1000,10,1,1700009839,1700235309,0
UMTS,646,1,101,230881709,262,47.6432,-18.8776,1000,3,1,1700009859,1700235308,0
GSM,646,1,10009,12343,-1,47.6601,-18.8683,1308,30,1,1700009921,1700235309,0
GSM,646,1,10009,12342,-1,47.6627,-18.8672,1512,21,1,1700009929,1700235309,0
UMTS,646,2,1420,673281,63,47.6719,-18.8657,1609,32,1,1700010009,1700235309,0
GSM,646,1,10009,12341,-1,47.6671,-18.8651,1000,12,1,1700010051,1700235309,0
UMTS,646,2,1420,670152,402,47.672,-18.8624,1000,2,1,1700010139,1700235309,0
UMTS,646,1,101,230881731,347,47.6745,-18.8626,1000,8,1,1700010139,1700235309,0
UMTS,646,1,101,230881730,346,47.6845,-18.8692,1032,30,1,1700010179,1700235309,0
UMTS,646,2,1420,671941,492,47.7037,-18.8783,3430,19,1,1700010179,1700235311,0
UMTS,646,2,1420,673282,64,47.6952,-18.8804,4505,30,1,1700010259,1700235311,0
UMTS,646,1,101,230877685,422,47.693,-18.8972,2215,62,1,1700010339,1700235310,0
UMTS,646,2,1420,670151,401,47.7116,-18.8906,2851,11,1,1700010429,1700235311,0
UMTS,646,2,1420,672503,6,47.693,-18.9009,1280,40,1,1700010459,1700235310,0
UMTS,646,2,1420,672501,4,47.7126,-18.9012,2213,63,1,1700010650,1700235311,0
UMTS,646,1,101,230877683,422,47.7139,-18.9006,1650,26,1,1700010700,1700235311,0
UMTS,646,1,101,230882764,363,47.729,-18.8954,2262,54,1,1700010780,1700235311,0
UMTS,646,2,1420,670474,279,47.7609,-18.8961,4198,49,1,1700011080,1700235312,0
UMTS,646,1,101,230882763,362,47.7746,-18.8965,2925,65,1,1700011180,1700235312,0
UMTS,646,1,101,230880114,242,47.7607,-18.8997,4198,10,1,1700011280,1700235312,0
UMTS,646,2,1420,670683,317,47.7787,-18.8985,3192,69,1,1700011280,1700235312,0
UMTS,646,2,1420,670687,10,47.751,-18.9011,1000,2,1,1700011320,1700235311,0
UMTS,646,2,1420,670682,316,47.8142,-18.921,6267,43,1,1700011481,1700235362,0
GSM,646,1,10009,10492,-1,47.7666,-18.8997,1000,15,1,1700011522,1700235311,0
GSM,646,1,10009,11061,-1,47.7671,-18.9,1000,22,1,1700011535,1700235311,0
UMTS,646,2,1420,670471,279,47.7638,-18.9015,1000,4,1,1700011561,1700235311,0
GSM,646,1,10009,11063,-1,47.7641,-18.9019,1000,1,1,1700011578,1700011578,0
UMTS,646,1,101,230880120,242,47.8055,-18.9055,1000,20,1,1700011931,1700235312,0
UMTS,646,1,101,189569,441,47.8094,-18.9157,1183,5,1,1700012061,1700235362,0
UMTS,646,1,101,230880119,241,47.8159,-18.9237,1313,31,1,1700012071,1700235362,0
UMTS,646,2,1420,670684,10,47.8157,-18.9249,1000,5,1,1700012201,1700235362,0
UMTS,646,2,1420,670472,280,47.8299,-18.9272,1000,3,1,1700012361,1700235362,0
GSM,646,2,1020,10832,-1,47.8362,-18.9174,1000,18,1,1700012450,1700235362,0
GSM,646,2,1020,12971,-1,48.4148,-18.9296,1000,1,1,1700032086,1700032086,0
UMTS,646,2,4420,765429,2,47.2336,-15.0232,1000,7,1,1699936547,1700235363,0
GSM,646,2,4020,41042,-1,47.232,-15.0227,1000,1,1,1699936657,1699936657,0
UMTS,646,2,4420,765808,2,47.232,-15.0227,1000,1,1,1699936751,1699936751,0
GSM,646,2,1050,11792,-1,47.5417,-19.0077,1000,1,1,1717921483,1717921483,0
LTE,646,2,1610,4544514,-1,44.0241,-18.0609,1000,2,1,1743514379,1743523681,0
GSM,643,4,600,30122,0,34.8449,-19.825,1035,14,1,1406038930,1717130434,0
GSM,643,4,620,30071,0,34.8461,-19.7571,8019,16,1,1408004071,1717130474,0
GSM,643,4,600,31972,0,34.8488,-19.8403,1067,9,1,1458950298,1716957596,0
GSM,643,4,620,30232,0,34.871,-19.791,4798,9,1,1458950298,1717043791,0
GSM,643,4,600,30022,0,34.8484,-19.8391,1000,18,1,1458950298,1716957596,0
GSM,643,4,600,31971,0,34.8453,-19.8377,1000,8,1,1458950298,1716957596,0
GSM,643,4,600,30003,0,34.8501,-19.8161,2134,11,1,1458950298,1717130329,0
GSM,643,4,600,30463,0,34.8515,-19.8235,9382,34,1,1458950298,1717130329,0
GSM,643,4,620,31721,0,34.64,-19.5355,4262,2,1,1454064373,1716957542,0
GSM,643,4,600,30673,0,34.8478,-19.8188,1298,6,1,1458950298,1717130316,0
GSM,643,4,600,30211,0,34.8459,-19.8281,1000,10,1,1458950298,1716957588,0
GSM,643,4,600,30011,0,34.8439,-19.8305,1000,27,1,1458950298,1716957604,0
GSM,643,4,600,30242,0,34.8489,-19.8348,1000,8,1,1458950298,1716957592,0
GSM,643,4,600,30353,0,34.8499,-19.8322,1415,28,1,1458950298,1716957600,0
GSM,643,4,600,30043,0,34.8496,-19.8285,1885,37,1,1458950298,1717130459,0
GSM,643,4,620,31682,0,34.7779,-19.6786,4205,4,1,1454064387,1717216449,0
GSM,643,4,620,30343,0,34.8478,-19.7381,1607,6,1,1458950298,1717130474,0
GSM,643,4,600,30171,0,34.8392,-19.8302,1611,11,1,1458950298,1717130409,0
GSM,643,4,600,30021,0,34.8478,-19.8393,1000,18,1,1458950298,1716957592,0
GSM,643,4,620,31751,0,34.8062,-19.703,6234,3,1,1454064387,1717216425,0
GSM,643,4,620,30131,0,34.7992,-19.7003,6996,6,1,1458950298,1717216413,0
